Time	ID	Ax_cm/s2	Ay_cm/s2	Az_cm/s2	Q0	Q1	Q2	Q3
20:29:06.713	16	848.275225	-449.14457	-347.15541	-0.01196	0.69006	-0.43253	0.58008
20:29:06.799	7	-125.52512	960.071035	93.163175	0.60068	0.76749	0.09686	-0.2016
20:29:06.801	16	848.275225	-397.169325	-397.169325	0.01147	0.73325	-0.37796	0.56503
20:29:06.919	7	-320.677455	892.40515	193.191005	0.60068	0.76749	0.09686	-0.2016
20:29:06.921	16	831.60392	-364.80738	-444.241245	0.01147	0.73325	-0.37796	0.56503
20:29:06.979	7	-512.887795	789.435325	34.323275	0.60068	0.76749	0.09686	-0.2016
20:29:07.011	16	733.53742	-239.28226	-475.622525	0.01147	0.73325	-0.37796	0.56503
20:29:07.102	16	784.532	-224.572285	-384.42068	0.07175	0.76569	-0.33066	0.54694
20:29:07.128	7	-544.269075	846.313895	-248.108245	0.59222	0.76877	0.09982	-0.21948
20:29:07.219	7	-380.49802	792.37732	-216.726965	0.59222	0.76877	0.09982	-0.21948
20:29:07.255	16	840.429905	-192.21034	-384.42068	0.07175	0.76569	-0.33066	0.54694
20:29:07.309	7	-431.4926	830.623255	-85.317855	0.59222	0.76877	0.09982	-0.21948
20:29:07.311	16	845.33323	-152.003075	-427.56994	0.07175	0.76569	-0.33066	0.54694
20:29:07.403	16	803.164635	-122.583125	-451.1059	0.07956	0.78622	-0.30994	0.52853
20:29:07.429	7	-354.020065	765.899365	-95.124505	0.58209	0.77161	0.13162	-0.21991
20:29:07.519	7	-488.37117	811.009955	-138.273765	0.58209	0.77161	0.13162	-0.21991
20:29:07.552	16	749.22806	-107.87315	-473.661195	0.07956	0.78622	-0.30994	0.52853
20:29:07.612	16	824.739265	-83.356525	-525.63644	0.07956	0.78622	-0.30994	0.52853
20:29:07.612	7	-419.72462	792.37732	-167.693715	0.58209	0.77161	0.13162	-0.21991
20:29:07.701	16	692.34949	-86.29852	-486.40984	0.09244	0.81696	-0.30374	0.48129
20:29:07.730	7	-363.826715	801.203305	-115.71847	0.60239	0.75681	0.13605	-0.21387
20:29:07.819	7	-215.7463	840.429905	-108.853815	0.60239	0.75681	0.13605	-0.21387
20:29:07.851	16	659.00688	-143.17709	-451.1059	0.09244	0.81696	-0.30374	0.48129
20:29:07.910	7	-374.61403	948.303055	50.99458	0.60239	0.75681	0.13605	-0.21387
20:29:07.943	16	632.528925	-174.55837	-447.18324	0.09244	0.81696	-0.30374	0.48129
20:29:08.030	7	-175.539035	896.32781	104.931155	0.67038	0.71799	0.08893	-0.16455
20:29:08.032	16	529.5591	-281.450855	-456.009225	0.09244	0.81696	-0.30374	0.48129
20:29:08.121	7	-280.47019	1059.1182	78.4532	0.67038	0.71799	0.08893	-0.16455
20:29:08.182	16	609.97363	-401.091985	-523.67511	0.0137	0.76947	-0.39206	0.50388
20:29:08.210	7	-276.54753	1057.15687	-21.57463	0.67038	0.71799	0.08893	-0.16455
20:29:08.242	16	776.68668	-560.94038	-507.98447	0.0137	0.76947	-0.39206	0.50388
20:29:08.328	7	-856.120545	947.32239	-86.29852	0.76572	0.63852	0.05539	-0.05328
20:29:08.364	16	647.2389	-664.89087	-446.202575	-0.12433	0.6456	-0.54172	0.52362
20:29:08.420	7	-209.86231	852.197885	48.052585	0.76572	0.63852	0.05539	-0.05328
20:29:08.481	16	537.40442	-765.899365	-455.02856	-0.12433	0.6456	-0.54172	0.52362
20:29:08.539	7	-230.456275	1125.80342	44.129925	0.76572	0.63852	0.05539	-0.05328
20:29:08.541	16	571.727695	-853.17855	-423.64728	-0.12433	0.6456	-0.54172	0.52362
20:29:08.629	7	-209.86231	918.883105	241.24359	0.7565	0.64316	0.09915	-0.0643
20:29:08.633	16	416.782625	-830.623255	-379.517355	-0.12433	0.6456	-0.54172	0.52362
