Time	ID	Ax_cm/s2	Ay_cm/s2	Az_cm/s2	Q0	Q1	Q2	Q3
20:52:20.159	13	-159.848395	-880.63717	-356.96206	0.42068	-0.65622	-0.46677	0.41763
20:52:20.252	13	-212.804305	-877.695175	-356.96206	0.42068	-0.65622	-0.46677	0.41763
20:52:20.280	14	-305.96748	1092.46081	-144.157755	-0.00217	0.17294	-0.81479	-0.55328
20:52:20.343	14	-168.67438	1019.8916	-104.931155	-0.00217	0.17294	-0.81479	-0.55328
20:52:20.369	13	-237.32093	-881.617835	-226.533615	0.40778	-0.69028	-0.42932	0.41571
20:52:20.425	14	-37.26527	873.772515	-322.638785	-0.00217	0.17294	-0.81479	-0.55328
20:52:20.460	13	-356.96206	-862.9852	-311.85147	0.40778	-0.69028	-0.42932	0.41571
20:52:20.545	14	-78.4532	943.39973	-355.981395	0.03638	0.15311	-0.81451	-0.55832
20:52:20.547	13	-293.218835	-1161.10736	-123.56379	0.40778	-0.69028	-0.42932	0.41571
20:52:20.640	14	-72.56921	917.90244	-335.38743	0.03638	0.15311	-0.81451	-0.55832
20:52:20.698	13	-318.716125	-984.58766	-512.887795	0.35635	-0.70996	-0.43329	0.4256
20:52:20.729	14	-59.820565	912.999115	-349.11674	0.03638	0.15311	-0.81451	-0.55832
20:52:20.758	13	-344.213415	-903.192465	-548.191735	0.35635	-0.70996	-0.43329	0.4256
20:52:20.846	14	-44.129925	883.579165	-360.88472	0.05609	0.14542	-0.8175	-0.55432
20:52:20.852	13	-320.677455	-827.68126	-510.926465	0.35635	-0.70996	-0.43329	0.4256
20:52:20.940	14	-81.395195	913.97978	-324.600115	0.05609	0.14542	-0.8175	-0.55432
20:52:20.979	13	-309.89014	-798.26131	-435.41526	0.40384	-0.7052	-0.38675	0.43579
20:52:21.027	14	11.76798	908.09579	-318.716125	0.05609	0.14542	-0.8175	-0.55432
20:52:21.060	13	-260.85689	-773.744685	-345.19408	0.40384	-0.7052	-0.38675	0.43579
20:52:21.152	13	-192.21034	-716.866115	-269.682875	0.40384	-0.7052	-0.38675	0.43579
20:52:21.152	14	-94.14384	890.44382	-345.19408	0.06961	0.15515	-0.81506	-0.55374
