Time	ID	Ax_global	Ay_global	Az_global
20:52:17.007	14	-11.319934066324478	-938.2773561550604	952.0549415384497
20:52:17.039	13	46.07401648826742	-962.7417151373493	969.0181127068468
20:52:17.096	14	27.34837193187026	-910.1541909487153	979.3698075374258
20:52:17.128	13	65.9711942875878	-946.3680381006849	960.9573107412984
20:52:17.217	14	-4.465699540503081	-967.6065245099529	958.8385200518343
20:52:17.223	13	61.540170830931444	-965.0726911953652	954.6179242944822
20:52:17.305	14	-28.66008774975633	-939.1930151988942	959.7401492407733
20:52:17.337	13	29.507786317767653	-989.4024577981661	969.9734687163468
20:52:17.397	14	-15.682732558277749	-874.351494606036	957.3311965449782
20:52:17.429	13	32.99771354582086	-937.1973056244457	955.0547918034929
20:52:17.518	13	27.052828759877542	-964.5905724237849	964.0415843785333
20:52:17.518	14	27.792405025041035	-983.6672627850309	963.523911861341
20:52:17.607	14	-13.842458995028721	-947.9672340341402	956.2998083753831
20:52:17.670	13	51.94649726039506	-971.4986543077101	963.8915508017282
20:52:17.698	14	5.066839624623071	-941.3535246577508	961.075650543914
20:52:17.761	13	40.216072417172455	-991.9734101053232	971.1649093104411
20:52:17.815	14	0.8462159286593476	-942.1946804388891	961.9151167944597
20:52:17.850	13	71.05744346137013	-970.8050464583532	961.7592696965793
20:52:17.906	14	-10.528227572993359	-912.9848757502207	962.4353781052446
20:52:17.969	13	58.23363978713897	-975.637272884079	966.7501312545037
20:52:17.999	14	18.96183482065848	-981.1916316067764	965.0830307437634
20:52:18.060	13	46.84088553430175	-970.6047200322045	958.2177005964279
20:52:18.115	14	-27.923186434292617	-903.1170737146533	951.981755472767
20:52:18.149	13	15.139197958677528	-939.680799532514	960.7396456748718
20:52:18.235	14	2.9352089454019534	-945.3787816654655	969.0144556356074
20:52:18.268	13	66.02219262486165	-988.2281983924518	969.2970274456663
20:52:18.326	14	-24.487976642161797	-956.775000508265	949.5988583543087
20:52:18.359	13	20.180280357763557	-983.7522481527067	971.2592813701765
20:52:18.447	14	-2.3267412258578446	-925.9991371994058	961.8018226274769
20:52:18.451	13	88.81464313930059	-985.1755237123043	965.0081041460414
20:52:18.539	14	10.986277406276614	-927.2220002102656	971.113020263185
20:52:18.571	13	41.4993420262892	-924.4756987350619	954.2767417541625
20:52:18.629	14	-76.68892712938354	-1059.516090110615	932.0179217478831
20:52:18.659	13	-8.395352123476911	-1073.2307004272213	1029.04028000346
20:52:18.747	14	-58.31220939367448	-962.8611692351562	971.4595209186252
20:52:18.747	13	-285.70869706396843	-1009.9711779404729	917.6243378805968
20:52:18.839	14	-75.0606136152412	-1009.4382131542176	963.1666143967773
20:52:18.871	13	260.72012690015197	-1011.8239290069209	861.3193723842073
20:52:18.925	14	-58.61233500024092	-729.9593129431247	979.1564496295298
20:52:18.961	13	193.96629160983144	-923.285327697088	979.9524166935332
20:52:19.049	13	90.31441978933677	-876.8237892050663	943.7231550257895
20:52:19.079	14	-285.2997332011118	-679.8993870471159	1234.7880693674672
20:52:19.140	14	-8.30706066270642	-1133.752283125202	1086.9891111608033
20:52:19.172	13	-166.64365861449193	-901.9287897014233	954.0841476693273
20:52:19.228	14	11.026400303865898	-1097.013338583865	976.4092536812395
20:52:19.261	13	109.37857009924797	-925.8761997767475	970.0032525325586
20:52:19.346	14	-11.52631448411313	-1046.4590322497638	907.7374162923202
20:52:19.352	13	77.27730273616278	-939.5851270082026	976.0528361504624
20:52:19.440	14	107.65452825454268	-1045.2561022901136	834.3550225974016
20:52:19.469	13	77.74250600062257	-948.5996237977462	955.0014858007589
20:52:19.525	14	122.61908685081438	-991.9522919751022	780.3765215156482
20:52:19.562	13	47.851285964208635	-936.6942976820719	957.869733284547
20:52:19.645	14	123.2140598694892	-991.0389302828763	757.9182552259026
20:52:19.649	13	13.97298180130192	-945.8604706443136	990.219666553456
20:52:19.740	14	179.69356313444644	-1013.1509583603831	755.0378982456152
20:52:19.772	13	37.03661919885777	-972.8210111074534	952.2404127349716
20:52:19.826	14	160.3675241034981	-1095.2281882031934	806.1802829487767
20:52:19.857	13	95.94466147179475	-927.3494373601693	949.193069881112
20:52:19.948	14	-61.58111571301498	-1008.8821853733218	1033.0328932407026
20:52:19.981	13	41.724080992476296	-1003.4898587306349	986.6493136654815
20:52:20.040	14	-122.8373997388208	-984.5968824968194	1108.288846533816
20:52:20.074	13	46.78102342282589	-970.6022828340886	943.3314127864602
20:52:20.128	14	-238.5648178446794	-915.9832974749763	1005.7750998880435
20:52:20.159	13	71.38514673345176	-1007.9047770854055	960.5600140777029
20:52:20.252	13	60.75067262921301	-1059.5777794072817	966.0182674684656
20:52:20.280	14	4.214281674586857	-667.388408266685	1099.7718799326115
20:52:20.343	14	-111.60564090698117	-694.1487856127205	992.4218010658893
20:52:20.369	13	-82.1045413010607	-985.4516154538853	937.0847010535992
20:52:20.425	14	-152.72275026288364	-975.2492700676175	919.5681511238088
20:52:20.460	13	-32.709710634347445	-1120.0818553145987	974.1678599667055
20:52:20.545	14	-40.462505096211174	-967.1170366875576	1010.4705625358238
20:52:20.547	13	-264.1351990395951	-932.8310388198236	1173.5961590987026
20:52:20.640	14	-45.47264269490492	-958.7253899235591	978.6378228498361
20:52:20.698	13	77.68037597624105	-979.3708468401301	1152.3930856558559
20:52:20.729	14	-53.40467534847079	-976.3746845641316	977.8317489445583
20:52:20.758	13	128.62607669894817	-1037.7931063057508	1102.2629258440243
20:52:20.846	14	-21.88291917666718	-985.8531486483214	955.1936751405894
20:52:20.852	13	124.32073467603924	-1039.0355812177731	1014.9445192621054
