Timestamp,Keypoint_ID,Keypoint_Nombre,X_cm,Y_cm,Z_cm,V_x, V_y, V_z, A_x, A_y,A_z,Probability %
2025-05-21 08:30:00.652,7,Codo_Izq,108.59566517105257,-18.935493425223832,227.80534259503742,4.7811626901515085,-0.7141587174421061,-2.145127878302712,0.9104752699527838,-0.13599701436464418,-0.4084960104168749,0
2025-05-21 08:30:00.653,8,Codo_Der,73.47636765364925,-9.443625241972379,247.6553807573025,4.0334352527164326,-1.1260771822447633,-2.1637842579676403,0.7680857750602286,-0.21443851484156085,-0.41204873878287596,0
2025-05-21 08:30:00.654,13,Rodilla_Izq,104.83440876691773,41.265095947441615,231.22397071727403,3.9638162003644193,-0.35208965509192136,0.4196996094728535,0.7548282413614438,-0.0670483195285792,0.07992326134833225,0
2025-05-21 08:30:00.657,14,Rodilla_Der,81.79860107252787,43.51892857688112,239.37967786266162,2.4616362137757726,-1.0384815162903742,-1.8746526224119817,0.4687685907195145,-0.19775770040895485,-0.3569894946210576,0
2025-05-21 08:30:00.659,15,Tobillo_Izq,109.07699327856776,77.92130058813825,239.68990179619132,3.883250460829294,0.44152674422418203,4.066414778942689,0.7394861335508719,0.08407979558339335,0.7743660556090618,0
2025-05-21 08:30:00.661,16,Tobillo_Der,84.99950545005724,82.50507236778401,249.95009634063865,0.9984857939694832,-0.4787904816633849,-0.03730831204030611,0.1901413278993811,-0.09117591709255973,-0.0071046098360865425,0
2025-05-21 08:30:00.843,7,Codo_Izq,109.59599031087694,-18.352874842125438,229.84392448745086,3.719097577127296,2.168148523685948,7.586143738256377,1.0286752269895068,1.1334266124315384,3.911844504491235,0
2025-05-21 08:30:00.845,8,Codo_Der,73.13214715968375,-9.862505864663333,247.79293266594382,-1.2830803103329462,-1.5578616698221948,0.5130455529808137,-1.2211454546151799,-0.5645240581117879,0.5722696624936525,0
2025-05-21 08:30:00.846,13,Rodilla_Izq,104.55124476440884,41.67494984961812,231.39883677005437,-1.055868590964604,1.5251369708373028,0.6503748281063642,-1.103163606716473,0.7743785311758848,0.24336173734419123,0
2025-05-21 08:30:00.847,14,Rodilla_Der,81.77689211467911,43.49589266948982,239.27173896393927,-0.08220537390743221,-0.08510432639889096,-0.40051358987314156,-0.4140764576007332,0.11808055377630622,0.09649125378635726,0
2025-05-21 08:30:00.848,15,Tobillo_Izq,108.66905189133216,78.01131990427035,238.7716650188637,-1.5200773985887703,0.33467523959152295,-3.4188258333302026,-1.3102464650041994,0.09084959655673484,-2.235426991463112,0
2025-05-21 08:30:00.849,16,Tobillo_Der,85.69425742937831,83.18425981514167,250.764605183823,2.5843628037019784,2.527312534064933,3.030541979491395,1.0690498581426051,1.2672734436740123,1.437780746909871,0
2025-05-21 08:30:01.023,7,Codo_Izq,108.22604303615033,-17.217452480108175,229.09115529052272,-4.165739859606533,4.094650385045614,-1.521603668762051,-18.060340163818214,7.867636428457886,-16.35826719788328,0
2025-05-21 08:30:01.026,8,Codo_Der,72.2833252399486,-9.89008854406686,247.52806937368783,-3.055756209025966,-0.2812106128866751,-0.79822002947857,-6.764407624084513,1.8719648792640902,-2.82997934260002,0
2025-05-21 08:30:01.027,13,Rodilla_Izq,104.35535774899051,41.65366869810245,231.06576363923634,-0.8363952772786597,0.12930769917940216,-1.0374477017884982,-0.9869181662821367,-2.0923521089289174,-3.971881450394382,0
2025-05-21 08:30:01.028,14,Rodilla_Der,81.19735931506506,43.72426030901349,238.61046846743434,-1.9806824646736183,0.7660830360522848,-2.248418855086313,-5.590582097407655,2.3613523461503267,-5.382692522831616,0
2025-05-21 08:30:01.029,15,Tobillo_Izq,109.00644219526566,78.29749341230317,239.5219474984778,0.8926500711497671,0.9978964627591492,2.0300404509560748,4.561589911004367,2.171996969411624,10.784314106064823,0
2025-05-21 08:30:01.030,16,Tobillo_Der,85.21747683089359,83.44330020334746,250.32161449710304,-1.2760488891440918,1.1999333201042506,-1.0938504492970675,-7.840708696654913,-0.750389425854918,-7.960859377831513,0
2025-05-21 08:30:01.203,7,Codo_Izq,106.45580374298703,-15.636255029561706,227.9242918769645,-7.735152385358315,6.362111689610488,-5.322165453420576,-26.206498319482492,15.89298296559474,-23.39075520693221,1
2025-05-21 08:30:01.205,8,Codo_Der,70.41716937466259,-9.158308442197525,247.73692038536174,-7.209983582192371,2.6700046599505325,0.47868168566510116,-20.28497877441231,10.305133252445941,1.6398644522520023,0
2025-05-21 08:30:01.206,13,Rodilla_Izq,102.55705526179757,42.23067272055736,230.71564143143536,-6.417279821931628,1.8823049131161231,-1.5724912847177885,-19.282438597935624,4.497426607525846,-5.078815659795013,0
2025-05-21 08:30:01.207,14,Rodilla_Der,78.94982679523389,44.432544503433036,238.2967068320137,-8.387712909649471,2.694758475344002,-1.6275497019932406,-25.773504106619328,8.325944142628668,-3.378363356877862,0
2025-05-21 08:30:01.208,15,Tobillo_Izq,110.13276011273616,78.68557239759946,239.72801230909806,4.318455440405437,1.5776963098592052,1.6101716978349274,14.557530257122007,4.112096663064225,7.030319553245723,0
2025-05-21 08:30:01.209,16,Tobillo_Der,84.32935759243878,82.73877468032849,248.0352587123638,-3.7393424848103693,-2.432847429367449,-8.6260629091048,-13.79409622661456,-10.9383510904846,-29.93948330603962,1
2025-05-21 08:30:01.368,7,Codo_Izq,103.71114662443323,-17.849196636148296,227.94203188478372,-12.02611246960001,-4.885711549112586,-2.530483616088179,-36.37696353085971,-15.708161665641814,-12.39051450038695,6
